a12312_1	2.765	1.8980718	1.9551721	2.2542531	1.6391103	1.5448151	1.645	1.2504497	1.7530491	1.4736587	1.263	1.541066	1.6189561	1.212	1.3612051	1.0478046	0.9294419	1.293	1.1802588	1.097	1.0654861	0.8511594	0.9409529	0.615769	0.5213158	0.663	0.5375276	0.4455416	0.446	0.4965068	0.379871	0.4696572	0.4982311	0.6431803	0.6461481	0.7553617	1.4142301	1.6138319	1.7526117	3.529664	3.126032	2.4338955	2.8543905	2.1890491	3.460543	2.2116601	   
a12312_15	0.684	0.5579146	0.4368116	0.4288394	0.3811601	0.3563982	0.262	0.2427483	0.2654952	0.2435545	0.187	0.206508	0.2961679	0.218	0.4293226	0.2534823	0.4482804	0.703	0.5864282	0.847	1.0301867	0.9933311	1.5814865	1.5154315	1.7852608	1.825	1.8555518	1.9040854	1.921	1.7317555	2.0719383	1.3933438	1.5985714	1.5169144	1.2981882	0.9357329	0.9314819	0.8870098	0.6869419	0.7807492	0.7453917	0.7414952	0.5798339	0.7369417	0.7125017	0.4534699	   
a12696_3	2.924	2.5326995	1.5879486	1.8317388	1.3894688	0.9651923	0.883	0.8727097	0.6285989	0.5749735	0.383	0.3988186	0.3232217	0.165	0.1801471	0.1074671	0.0942594	0.147	0.0444139	0.087	0.0464467	0.0533144	0.0460102	0.0375859	0.0385249	0.078	0.0432685	0.081578	0.158	0.3279954	0.5646477	0.8167594	1.2792419	2.1256195	1.9158586	2.1910068	3.0063839	4.5067749	5.3749789	7.9899709	6.0614671	5.2457823	4.0473558	2.7930433	2.9796673	1.8866165	   
a12797_1	0.579	0.6055698	0.3906991	0.3617937	0.3896845	0.2917138	0.195	0.2368276	0.1522693	0.2050174	0.118	0.147137	0.1495078	0.098	0.1860398	0.1717138	0.246609	0.285	0.3479091	0.508	0.706918	0.8287112	1.1998728	1.3394975	1.7582114	1.606	1.8439026	1.8009922	2.069	1.6219221	2.3852145	1.4492749	2.2064517	1.981254	1.5692169	1.1527278	0.9053166	0.995794	0.7767903	0.8876297	0.9080668	0.9693437	0.5947604	0.6475459	0.679772	0.6580428	   
a13231_2	1.281	1.0274927	1.1033476	1.0891762	1.1313028	1.0831461	1.099	1.2480815	1.0893112	1.3827112	1.033	1.1370847	1.4765676	0.907	0.9243063	0.8632415	0.904233	0.865	0.6341321	0.652	0.8369687	0.844612	0.8660736	0.7693114	0.8155806	0.88	1.0226337	0.9601108	0.924	0.970445	0.9707813	0.824162	0.9022022	1.1915535	1.1528539	0.9503824	1.0479171	1.0902331	0.9860573	1.0127581	1.5089933	1.5633301	1.3778233	1.378757	1.7472658	1.3979147	   
a13725_11	1.514	1.6400364	1.9778092	1.7684882	1.5429069	1.5257901	1.306	1.6862125	1.4680322	1.7110473	1.513	1.5359033	1.8482014	1.221	1.458855	1.2230228	1.2100281	1.301	1.3209028	1.209	1.1295825	0.9082152	1.0816898	0.8836685	0.8393513	1.007	0.9652197	0.8552247	0.898	0.7778607	0.7531762	0.6127752	0.6521248	0.6474898	0.6706978	0.6033738	0.6907618	0.8164794	0.8165965	1.2760491	1.1957831	1.2169478	1.5247909	1.6068307	1.7711836	1.4729247	   
a13725_2	1.538	1.3401573	1.3112733	1.1891122	0.8560881	1.1389523	0.845	0.9366532	0.7340161	0.7661176	0.64	0.5524089	0.6250851	0.287	0.4234299	0.3714625	0.3485407	0.419	0.2870455	0.324	0.457964	0.4854415	0.8859211	0.5581906	0.5450866	0.864	1.0550851	1.3975843	1.247	0.8696392	0.9313873	0.9113489	1.0397447	1.3003663	1.3846031	1.0126425	1.1447284	1.5313471	1.6911963	1.7948107	3.2935631	3.1780249	2.7992774	4.6852525	2.8726661	2.6458093	   
a13725_4	1.772	1.8829617	1.5175221	1.7355978	1.7036519	1.5448151	1.275	1.561878	1.3665193	1.6324316	1.001	1.1796769	1.3954064	0.767	0.7197467	0.6541478	0.6181666	0.701	0.4737485	0.451	0.4523904	0.4040669	0.3130495	0.4758215	0.5647588	0.556	0.6365458	0.3514131	0.515	1.036646	0.7738112	0.7197024	0.8204461	1.1139841	1.226503	0.9851748	1.278171	1.5277608	1.6604887	2.2014781	2.7764019	2.9831025	2.5512692	2.8079426	4.184374	2.4332808	   
a13725_5	0.623	0.6113814	0.8099041	0.875389	0.8597414	1.1782702	1.103	1.4339911	1.4589222	1.8574883	1.691	1.8327584	2.3294743	1.631	1.7568553	1.6190158	1.7010541	1.755	1.7683321	1.851	1.6274906	1.3459543	1.5914103	1.1731599	1.2909945	1.084	0.9219513	0.7261342	0.725	0.5694783	0.4286445	0.4137261	0.4491774	0.4363284	0.4860841	0.5063213	0.536387	0.493713	0.4264954	0.5044239	0.8291573	0.7770553	0.7681365	0.8870806	0.8761505	0.7523736	   
a13725_6	1.733	1.6121406	1.0496893	1.5989765	1.1057297	1.1947584	0.983	1.1521663	1.461525	1.4767417	1.328	1.2661522	1.6274994	1.227	1.4184481	1.2101734	1.3766263	1.365	1.3620269	1.553	1.2717092	1.1944291	1.2377635	0.9732349	0.7803344	0.858	0.7888175	0.5970437	0.583	0.5717351	0.6368701	0.7213474	0.7723543	0.9620771	1.0104657	0.7599397	1.1774349	1.2803066	1.4944398	2.0828668	1.8998991	1.8254217	1.5454583	1.076187	1.413674	1.1308334	   
